film_id,titre,titre_normalise,genre_principal,nb_seances,nb_salles,lieux_ids,image_url,notes
F0107,Gorgonà,gorgona,fiction,4,1,L128,https://fr.web.img3.acsta.net/img/9b/1b/9b1b011383742e306a8e8e79c59fff9d.jpg,auto (4 séances / 1 salles)
F0108,La Frappe,la-frappe,fiction,4,1,L141,,auto (4 séances / 1 salles)
F0109,Le Corset,le-corset,fiction,4,3,L125|L126|L142,https://films.cinemas-utopia.org/wp-content/uploads/2026/06/Corset-COUV.jpg,auto (4 séances / 3 salles)
F0110,Lydia et le vaisseau des tempêtes,lydia-et-le-vaisseau-des-tempetes,animation_jeune_public,4,3,L138|L139|L148,https://fr.web.img6.acsta.net/img/a9/56/a956b39c861f91bf3252abbe92836765.jpg,auto (4 séances / 3 salles)
F0111,Maspalomas,maspalomas,fiction,4,1,L143,https://fr.web.img4.acsta.net/img/23/15/2315f43ab8450d3204f41426a899b98b.jpg,auto (4 séances / 1 salles)
F0112,Oasis: Don't Look Back In Anger,oasis-dont-look-back-in-anger,documentaire,4,4,L137|L138|L139|L140,https://fr.web.img4.acsta.net/img/27/1d/271d5eaf553814418bc2b5abe3a4bcfb.jpg,auto (4 séances / 4 salles)
F0113,Pressure,pressure,fiction,4,2,L137|L140,https://fr.web.img2.acsta.net/img/92/fb/92fb57911489ab17bfa8ecf0b29712c5.jpg,auto (4 séances / 2 salles)
F0114,Sanjuro,sanjuro,patrimoine_retro,4,1,L126,https://films.cinemas-utopia.org/wp-content/uploads/2016/02/Sanjuro-COUV.jpg,auto (4 séances / 1 salles)
F0115,Superasticot,superasticot,animation_jeune_public,4,2,L137|L138,https://fr.web.img2.acsta.net/pictures/22/05/13/16/18/0993251.jpg,auto (4 séances / 2 salles)
F0116,Wolfy ! Et les loups en délire,wolfy-et-les-loups-en-delire,animation_jeune_public,4,1,L144,https://fr.web.img6.acsta.net/pictures/20/09/01/09/09/4507895.jpg,auto (4 séances / 1 salles)
F0117,Bohemian Rhapsody,bohemian-rhapsody,fiction,3,1,L140,https://fr.web.img6.acsta.net/pictures/18/05/15/16/26/2028013.jpg,auto (3 séances / 1 salles)
F0118,Challengers,challengers,fiction,3,2,L131|L142,https://fr.web.img4.acsta.net/pictures/24/01/15/10/08/2202044.jpg,auto (3 séances / 2 salles)
F0119,Hanami,hanami,fiction,3,1,L128,https://fr.web.img2.acsta.net/img/6c/90/6c900bb511aba24796a124cc0630d8e6.jpg,auto (3 séances / 1 salles)
F0120,Harry Potter et l'Ordre du Phénix,harry-potter-et-lordre-du-phenix,animation_jeune_public,3,2,L137|L142,https://fr.web.img6.acsta.net/medias/nmedia/18/36/32/70/18778375.jpg,auto (3 séances / 2 salles)
F0121,Harry Potter et le Prince de sang mêlé,harry-potter-et-le-prince-de-sang-mele,patrimoine_retro,3,2,L137|L142,https://fr.web.img2.acsta.net/medias/nmedia/18/65/64/35/19116952.jpg,auto (3 séances / 2 salles)
F0122,Jean-Michel le caribou et les histoires d'amour interdites,jean-michel-le-caribou-et-les-histoires-damour-interdites,animation_jeune_public,3,1,L144,https://fr.web.img2.acsta.net/pictures/20/10/02/17/00/3548007.jpg,auto (3 séances / 1 salles)
