artiste_id,nom,nom_normalise,genre_principal,genres_secondaires,url_photo,notes
A0184,FAT FREDDY'S DROP,fat-freddy-s-drop,musique_autre,,,auto depuis programme (1 passages)
A0186,Schooet,schooet-des-goguettes,chanson_variete,,,auto depuis programme (1 passages)
A0187,FIBR 4TET,fibr-4tet,jazz_blues,,,auto depuis programme (1 passages)
A0188,LOUIS CATTELAT,louis-cattelat,musique_autre,,,auto depuis programme (1 passages)
A0189,DJ Pone,dj-pone,hiphop_rap,,,auto depuis programme (1 passages)
A0190,Talisco,talisco,chanson_variete,,,auto depuis programme (1 passages)
A0191,Primal Fear,primal-fear,rock_metal_punk,,,auto depuis programme (1 passages)
A0192,HIPPOTRAKTOR,hippotraktor,rock_metal_punk,,,auto depuis programme (1 passages)
A0193,HYPNO5E,hypno5e,rock_metal_punk,,,auto depuis programme (1 passages)
A0194,A6EL,a6el,hiphop_rap,,,auto depuis programme (1 passages)
A0195,Dopelord,dopelord,rock_metal_punk,,,auto depuis programme (1 passages)
A0196,Monolord,monolord,rock_metal_punk,,,auto depuis programme (1 passages)
A0197,Earth Tongue,earth-tongue,rock_metal_punk,,,auto depuis programme (1 passages)
A0198,Hällas,hallas,rock_metal_punk,,,auto depuis programme (1 passages)
A0200,Neon Paradise,neon-paradise,electro_techno,,,auto depuis programme (1 passages)
A0201,Neon Kult,neon-kult,electro_techno,,,auto depuis programme (1 passages)
A0202,Vector Seven,vector-seven,electro_techno,,,auto depuis programme (1 passages)
A0203,Owls Woods Graves,owls-woods-graves,rock_metal_punk,,,auto depuis programme (1 passages)
A0204,Profanation,profanation,rock_metal_punk,,,auto depuis programme (1 passages)
A0205,Gorrch,gorrch,rock_metal_punk,,,auto depuis programme (1 passages)
A0206,Mispyrming,mispyrming,rock_metal_punk,,,auto depuis programme (1 passages)
A0207,Boris,boris,rock_metal_punk,,,auto depuis programme (1 passages)
A0208,Imparfait,imparfait,rock_metal_punk,,,auto depuis programme (1 passages)
A0209,Calva Louise,calva-louise,rock_metal_punk,,,auto depuis programme (1 passages)
A0210,Two Lanes,two-lanes,electro_techno,,,auto depuis programme (1 passages)
A0211,Spider Zed,spider-zed,hiphop_rap,,,auto depuis programme (1 passages)
A0212,Mammal Hands,mammal-hands,jazz_blues,,,auto depuis programme (1 passages)
A0213,7WEEKS,7weeks,rock_metal_punk,,,auto depuis programme (1 passages)
A0214,Within Destruction,within-destruction,rock_metal_punk,,,auto depuis programme (1 passages)
A0215,Abbie Falls,abbie-falls,rock_metal_punk,,,auto depuis programme (1 passages)
A0216,The Browning,the-browning,rock_metal_punk,,,auto depuis programme (1 passages)
A0217,Storm Orchestra,storm-orchestra,rock_metal_punk,,,auto depuis programme (1 passages)
A0218,Fulci,fulci,rock_metal_punk,,,auto depuis programme (1 passages)
A0219,Arottenbit,arottenbit,rock_metal_punk,,,auto depuis programme (1 passages)
A0220,Master Boot Record,master-boot-record,rock_metal_punk,,,auto depuis programme (1 passages)
A0221,The Vintage Caravan,the-vintage-caravan,rock_metal_punk,,,auto depuis programme (1 passages)
