entity_id,kind,date,ville,lieu_nom,lieu_id,source_url,scope
F0055,film,2026-09-16,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13957,toulouse
F0012,film,2026-09-16,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13805,toulouse
F0047,film,2026-09-16,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13952,toulouse
F0018,film,2026-09-16,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13474,toulouse
F0022,film,2026-09-16,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13949,toulouse
F0010,film,2026-09-16,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13449,toulouse
F0005,film,2026-09-16,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13457,toulouse
F0036,film,2026-09-16,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13475,toulouse
F0061,film,2026-09-16,Toulouse,Le Cratère,L128,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0056&gid_entity=movie.movie._.305836&tags=Localization.Version.Original,Format.Projection.Digital&perfd=20260916&perft=10:00&code=VO",toulouse
F0082,film,2026-09-16,Toulouse,Le Cratère,L128,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0056&gid_entity=movie.movie._.325471&tags=Localization.Version.Original,Format.Projection.Digital&perfd=20260916&perft=11:40&code=VO",toulouse
F0147,film,2026-09-16,Toulouse,Le Cratère,L128,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0056&gid_entity=movie.movie._.1000035099&tags=Localization.Version.Original,Format.Projection.Digital&perfd=20260916&perft=15:00&code=VO",toulouse
F0005,film,2026-09-16,Toulouse,Le Cratère,L128,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0056&gid_entity=movie.movie._.188280&tags=Localization.Version.Original,Format.Projection.Digital&perfd=20260916&perft=15:55&code=VO",toulouse
F0042,film,2026-09-16,Toulouse,Le Cratère,L128,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0056&gid_entity=movie.movie._.308394&tags=Localization.Version.Original,Format.Projection.Digital&perfd=20260916&perft=18:30&code=VO",toulouse
F0013,film,2026-09-16,Toulouse,Le Cratère,L128,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0056&gid_entity=movie.movie._.1000024105&tags=Localization.Version.Original,Format.Projection.Digital&perfd=20260916&perft=20:05&code=VO",toulouse
F0350,film,2026-09-16,Toulouse,Cinémathèque de Toulouse,L131,https://www.lacinemathequedetoulouse.com/programmation/agenda,toulouse
F0351,film,2026-09-16,Toulouse,Cinémathèque de Toulouse,L131,https://www.lacinemathequedetoulouse.com/programmation/projections/37245,toulouse
F0193,film,2026-09-16,Toulouse,Cinémathèque de Toulouse,L131,https://www.lacinemathequedetoulouse.com/programmation/agenda,toulouse
F0322,film,2026-09-16,Toulouse,Cinémathèque de Toulouse,L131,https://www.lacinemathequedetoulouse.com/programmation/agenda,toulouse
F0198,film,2026-09-16,Toulouse,Cinémathèque de Toulouse,L131,https://www.lacinemathequedetoulouse.com/programmation/agenda,toulouse
F0199,film,2026-09-16,Toulouse,Cinémathèque de Toulouse,L131,https://www.lacinemathequedetoulouse.com/programmation/projections/37252,toulouse
F0450,film,2026-09-16,Toulouse,Cinémathèque de Toulouse,L131,https://www.lacinemathequedetoulouse.com/programmation/agenda,toulouse
F0099,film,2026-09-16,Ramonville-Saint-Agne,L'Autan,L143,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0881&gid_entity=movie.movie._.1000019673&tags=Showtime.Accessibility.Subtitled,Localization.Version.Original,Showtime.Accessibility.Accessible,Format.Projection.Digital&perfd=20260916&perft=18:00&code=VO; SUBTITLE; DISABLED ACCESS",toulouse
F0005,film,2026-09-16,Ramonville-Saint-Agne,L'Autan,L143,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0881&gid_entity=movie.movie._.188280&tags=Showtime.Accessibility.Subtitled,Localization.Version.Original,Showtime.Accessibility.Accessible,Format.Projection.Digital&perfd=20260916&perft=20:30&code=VO; SUBTITLE; DISABLED ACCESS",toulouse
F0006,film,2026-09-16,Plaisance-du-Touch,Ecran7 Plaisance,L145,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0918&gid_entity=movie.movie._.314503&tags=Localization.Language.French,Showtime.Accessibility.Dubbed,Format.Projection.Digital,Showtime.Accessibility.Accessible&perfd=20260916&perft=13:45",toulouse
F0011,film,2026-09-16,Plaisance-du-Touch,Ecran7 Plaisance,L145,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0918&gid_entity=movie.movie._.1000002942&tags=Localization.Language.French,Showtime.Accessibility.Dubbed,Format.Projection.Digital,Showtime.Accessibility.Accessible&perfd=20260916&perft=13:45",toulouse
F0007,film,2026-09-16,Plaisance-du-Touch,Ecran7 Plaisance,L145,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0918&gid_entity=movie.movie._.257425&tags=Localization.Language.French,Showtime.Accessibility.Dubbed,Format.Projection.Digital,Showtime.Accessibility.Accessible&perfd=20260916&perft=13:45",toulouse
